clean_address,lon,lat
"150 I240 E TO MERRIMON AVE, ASHEVILLE, NC",,
"150 I240 E X6 TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E X7 TO TUNNEL RD AND I240 W TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E, ASHEVILLE, NC",,
"150 I240 W AND AMBOY RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BREVARD RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BROADWAY ST TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BROADWAY ST, ASHEVILLE, NC",,
"150 I240 W AND FAIRVIEW RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND HAYWOOD RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I240 E TO I40 E AND CHARLOTTE HWY TO I40 E, ASHEVILLE, NC",,
"150 I240 W AND I240 W TO MERRIMON AVE, ASHEVILLE, NC",,
"150 I240 W AND I240 W TO TUNNEL RD X7, ASHEVILLE, NC",,
"150 I240 W AND I26 E TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I26 E, ASHEVILLE, NC",,
"150 I240 W AND I40 W TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I40 W, ASHEVILLE, NC",,
"150 I240 W AND MERRIMON AVE TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND PATTON AVE TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND PATTON AVE, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD & I240 W TO I240 E, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W X6, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W X7, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W TO I26 W AND I240 W, ASHEVILLE, NC",,
"150 I240 W, ASHEVILLE, NC",,
"150 I-240 W, ASHEVILLE, NC",,
"150 I2403, ASHEVILLE, NC",,
"150 I26 W TO BROADWAY ST AND BROADWAY ST, ASHEVILLE, NC",,
"150 I26 W TO HILL ST AND HILL ST, ASHEVILLE, NC",,
"150 I26EB AND I240W, ASHEVILLE, NC",,
"150 I40 E TO CHARLOTTE HWY, ASHEVILLE, NC",,
"150 I40 E TO I240 W, ASHEVILLE, NC",,
"150 I40 E TO SWEETEN CREEK RD, ASHEVILLE, NC",,
"150 I40 W TO SMOKEY PARK HWY AND SMOKEY PARK HWY, ASHEVILLE, NC",,
"150 I-40 W, ASHEVILLE, NC",,
"150 JASON ST AND , ASHEVILLE, NC",,
"150 JEFFERSON DR AND W HAYWOOD ST, ASHEVILLE, NC",,
"150 JENNY ST, ASHEVILLE, NC",,
"150 JOHNS ST, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND BAKER DR S, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND IVANHOE AVE, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND LARUE ST, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND N BEAR CREEK RD, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND OAKMONT TER, ASHEVILLE, NC",,
"150 JOHNSTON BLVD, ASHEVILLE, NC",,
"150 KENMORE ST, ASHEVILLE, NC",,
"150 KLONDIKE PL, ASHEVILLE, NC",,
"150 LANGREN ALY, ASHEVILLE, NC",,
"150 LAVENDALE AVE, ASHEVILLE, NC",,
"150 LAW ST, ASHEVILLE, NC",,
"150 LEICESTER HWY, ASHEVILLE, NC",,
"150 LEISCESTER HWY, ASHEVILLE, NC",,
"150 LIVINGSTON RD AND , ASHEVILLE, NC",,
"150 LIVINGSTON ST AND CONGRESS ST, ASHEVILLE, NC",,
"150 LIVINGSTON ST AND ERSKINE ST, ASHEVILLE, NC",,
"150 LIVINGSTON ST AND PINE GROVE AVE, ASHEVILLE, NC",,
"150 LIVINGSTON ST, ASHEVILLE, NC",,
"150 LODGE ST AND HENDERSONVILLE RD, ASHEVILLE, NC",,
"150 LODGE ST AND MCDOWELL ST, ASHEVILLE, NC",,
"150 LOFTY AVE, ASHEVILLE, NC",,
"150 LONG SHOALS RD TO I26 W AND , ASHEVILLE, NC",,
"150 LOUISIANA AVE AND MAJESTIC AVE, ASHEVILLE, NC",,
"150 LOWER GRASSY BRANCH RD AND DOGWOOD KNL, ASHEVILLE, NC",,
"150 LOWER GRASSY BRANCH RD AND HICKORY TREE RD, ASHEVILLE, NC",,
"150 LOWER GRASSY BRANCH RD AND THOMAS LEE DR, ASHEVILLE, NC",,
"150 LOWER GRASSY BRANCH RD AND TUNNEL RD, ASHEVILLE, NC",,
"150 LOWER GRASSY BRANCH RD, ASHEVILLE, NC",,
"150 LYMAN ST AND RIVERSIDE DR, ASHEVILLE, NC",,
"150 LYNBROOK DR, ASHEVILLE, NC",,
"150 MAJESTIC AVE AND LOUISIANA AVE, ASHEVILLE, NC",,
"150 MANGO DR, ASHEVILLE, NC",,
"150 MANGO RD, ASHEVILLE, NC",,
"150 MAPLE SPRINGS RD, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND ALEXANDER DR, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND CARROLL AVE, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND COLLEGE ST, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND HAZZARD ST, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND MOUNTAIN ST, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND S CHARLOTTE ST, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR AND TUSKEEGEE ST, ASHEVILLE, NC",,
"150 MARTIN LUTHER KING JR DR, ASHEVILLE, NC",,
"150 MCCULLEY DR, ASHEVILLE, NC",,
"150 MCDOWELL ST AND HOSPITAL DR, ASHEVILLE, NC",,
"150 MCDOWELL ST AND MCDOWELL ST TO SOUTHSIDE AVE, ASHEVILLE, NC",,
"150 MCDOWELL ST AND MYRTLE ST, ASHEVILLE, NC",,
