clean_address,lon,lat
"MERRIMON AVE AND WOODBINE RD, ASHEVILLE, NC",-82.5731544,35.6370411
"N LEXINGTON AND I-204 E, ASHEVILLE, NC",-82.5535024,35.5972882
"PACK  SP, ASHEVILLE, NC",-82.551177,35.5950405
"N LEXINGTON AVE AND PATTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"PATTON AVE AND  S. FR BR, ASHEVILLE, NC",-82.561404,35.592814
"S PACK SQ AND PATTON AVE, ASHEVILLE, NC",-82.551177,35.5950405
"N LEXINGTON AVE AND HIAWASSEE ST, ASHEVILLE, NC",-82.55376,35.5979765
"S FRENCH BROAD AVE AND DAILY DR, ASHEVILLE, NC",-82.5595281,35.5848329
"PATTON AVE AND LEXINGTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"PATTON AVE AND N LEXINGTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"SMOKEY PARK HWY AND I40, ASHEVILLE, NC",-82.640384,35.557829
"MONTFORD AVE AND COLEY ST, ASHEVILLE, NC",-82.5645374,35.6025874
"N LEXINGTON AVE AND I-240, ASHEVILLE, NC",-82.5541643,35.5990953
"PATTON AVE AND  LEXINGTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"SOUTH FRENCH BROAD  AND  HILLIARD, ASHEVILLE, NC",-82.5589742,35.5911269
"PORTERS COVE RD AND I40, ASHEVILLE, NC",-82.4596176,35.5674362
"PATTON AVE AND S LEXINGTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"OFF RAMP I240 AND HAYWOOD RD, ASHEVILLE, NC",-82.5545518,35.5990948
"PRITCHARD PARK AND PATTON AVE, ASHEVILLE, NC",-82.5544579,35.5947264
"S FRENCH BROAD AVE AND HILLARD AVE, ASHEVILLE, NC",-82.5589742,35.5911269
"PORTERS COVE RD AND EXIT 55, ASHEVILLE, NC",-82.4596176,35.5674362
"N LEXINGTON AVE AND I240, ASHEVILLE, NC",-82.5541643,35.5990953
"S LEXINGTON AVE AND PATTON AVE, ASHEVILLE, NC",-82.55262,35.5948336
"SWANNANOA RIVER RD AND S TUNNEL RD, ASHEVILLE, NC",-82.5200995,35.5776961
"N LEXINGTON AND I-240, ASHEVILLE, NC",-82.5541643,35.5990953
"MERRIMON AVE AND N LEXINGTON, ASHEVILLE, NC",-82.5535024,35.5972882
"RIVERSIDE DR ONRAMP I26N, ASHEVILLE, NC",-82.5776278,35.6231211
"PATTON AVE AND I240, ASHEVILLE, NC",-82.5781638,35.589491
"ON RAMP I240 TO TUNNEL RD EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"N LEXINGTON AVE AND WOODFIN ST, ASHEVILLE, NC",-82.55376,35.5979765
"STATE ST AND SHORT MICHIGAN AVE, ASHEVILLE, NC",-82.5785081,35.5679551
"SMOKEY PARK HWY AND INTERSTATE 40, ASHEVILLE, NC",-82.640384,35.557829
"PATTON AVE AND BILTMORE  AVE, ASHEVILLE, NC",-82.551941,35.594935
"SHORT MICHIGAN AVE AND MICHIGAN AVE, ASHEVILLE, NC",-82.5785081,35.5679551
"NEW AIRPORT RD AND I26, ASHEVILLE, NC",-82.5326656,35.4423819
"S FRENCH BROAD AND DALEY ST, ASHEVILLE, NC",-82.5595281,35.5848329
"I240 W AND MONTFORD EXIT, ASHEVILLE, NC",-82.5645374,35.6025874
"I 40 WB AND MM 49, ASHEVILLE, NC",-82.553946,35.5582803
"I 240 EB AND PATTON AVE EXIT, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EAST AMBOY RD, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"I40E AND EXIT 51, ASHEVILLE, NC",-82.5514869,35.5950581
"I240E AND EXIT 6, ASHEVILLE, NC",-82.5514869,35.5950581
"I 240 EB AND MERRIMON OFF RAMP, ASHEVILLE, NC",-82.5545518,35.5990948
"I 26 AND MM 31, ASHEVILLE, NC",-82.5688754,35.5946356
"I 240 W  AND  EXIT 8, ASHEVILLE, NC",-82.5545518,35.5990948
"I240 AND EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 W  AND  EXIT 4A, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EB AND US 74, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240, ASHEVILLE, NC",-82.5545518,35.5990948
